Outlet ID & Name,File Name,Upload Date,Uploaded By,COMM (₹),CPC,COMM(REF),TDS,TCS,GST Reversal,Net Payout,Difference
"CHENGALPATTU-TKM RD","invoice_Annexure_981801_09072025_1752072686979.xlsx","2025-08-26","","1712.07","0","150.81","5.77","0","290.59","4082.09","0.08"
"W MAMBALAM","invoice_Annexure_955652_09072025_1752062047773.xlsx","2025-08-26","","2080.56","0","0","6.84","0","341.3","4738.63","-0.09"
"MADAMBAKKAMM01","invoice_Annexure_871919_09072025_1752063744003.xlsx","2025-08-26","","830.07","0","0","2.75","1.1","125.19","1930.28","0.09"
"GOPALAPURAM","invoice_Annexure_836881_09072025_1752062052904.xlsx","2025-08-26","","280.39","0","161","0.99","4.77","1.8","714.6","645.16"
"CKS KOVAI - PALLADAM","invoice_Annexure_836323_09072025_1752072642778.xlsx","2025-08-26","","781.68","0","0","2.76","0","138","1975.58","-0.02"
"MKBK NAGER","invoice_Annexure_836320_09072025_1752061821389.xlsx","2025-08-26","","1178.84","0","0","4.17","13.63","71.9","3456.05","0.06"
"CKS KOVAI-KOVAIPUDUR","invoice_Annexure_825582_09072025_1752061139648.xlsx","2025-08-26","","2134.63","0","150","7.53","25.31","121.86","6060.2","-0.05"
"CKS KOVAI -SAIBABA COLONY","invoice_Annexure_825581_09072025_1752061863438.xlsx","2025-08-26","","1073.08","0","0","3.78","16.71","22.32","3296.93","120.64"
"CHENGALPATTU-TKM RD","invoice_Annexure_782415_09072025_1752073187842.xlsx","2025-08-26","","8153.61","2675.89","347.9","25.68","0","1286.36","14690.31","0.26"
"CKS KOVAI-SUNDARAPURAM","invoice_Annexure_773612_09072025_1752004415823.xlsx","2025-08-26","","692.15","0","0","2.05","9.73","5.04","1693.4","4481.23"
"VINAYAGAPURAM TVKN","invoice_Annexure_772251_09072025_1752007369222.xlsx","2025-08-26","","2107.68","59","0","6.94","0","347.16","4769.62","29265.13"
"VINAYAGAPURAM TVKN","invoice_Annexure_767017_09072025_1752062234648.xlsx","2025-08-26","","2225.11","0","568.04","7.18","13.51","240.38","5749.47","0.14"
"PERAMBUR 70 FT","invoice_Annexure_663802_09072025_1752062291558.xlsx","2025-08-26","","463.74","0","0","1.4","3.81","31.37","1057.18","0.02"
"TENNUR-TRICHY","invoice_Annexure_650957_09072025_1752073347811.xlsx","2025-08-26","","1153.79","0","0","3.5","15.9","15.58","2885.4","-0.02"
"SEMMANDALAM","invoice_Annexure_644097_09072025_1752076618444.xlsx","2025-08-26","","1027.97","0","0","2.91","0","145.41","1877.36","0.01"
"VILLUPURAM","invoice_Annexure_644093_09072025_1752073175253.xlsx","2025-08-26","","524.1","0","0","1.76","0","88.13","1236.66","0.01"
"AYYAPAKKAM","invoice_Annexure_635505_09072025_1752062269781.xlsx","2025-08-26","","1251.3","0","0","3.78","11.95","69.23","2936.38","946.92"
"KANCHIPURAM APK","invoice_Annexure_622338_09072025_1752072151124.xlsx","2025-08-26","","1271.82","0","0","3.91","14.59","50","3150.58","3065.51"
"VILLUPURAM","invoice_Annexure_611832_10072025_1752124757970.xlsx","2025-08-26","","3634.64","0","0","10.74","35.98","177.95","8367.32","-0.06"
"SEMMANDALAM","invoice_Annexure_606999_09072025_1752076946282.xlsx","2025-08-26","","1730.23","0","0","5.23","17.95","81.49","4087.2","0.08"
"MUDICHUR","invoice_Annexure_451144_09072025_1752062814149.xlsx","2025-08-26","","3974.43","0","51","11.54","42.14","156.33","8986.15","-0.01"
"PUDUR","invoice_Annexure_1125955_09072025_1752063800918.xlsx","2025-08-26","","135.31","0","0","0.46","0","22.75","319.24","0.01"
"PUDUR","invoice_Annexure_1125946_09072025_1752062771191.xlsx","2025-08-26","","92.23","0","0","0.28","0","14","187.49","0"
